,0,1,2
0,78.0,80.0,82.0
1,-39377.02350342554,-39428.96895753968,-39411.44518988671
2,-55130.75651297051,-54913.944591754036,-55154.628176048784
3,-64980.320928135036,-64968.76507625164,-65028.66775139186
4,-13980.122087016356,-13725.021627547936,-13875.0241845875
5,-33453.05126345769,-32911.312033094415,-33298.77952322716
6,-18560.866243942528,-18611.96233176736,-18590.884636746006
7,-44988.40659718592,-45044.44242053538,-45033.31125179664
8,-40675.212821389774,-40741.50809544422,-40708.785141561646
9,-51089.136432306346,-51204.76200637365,-50637.63119430914
10,-60413.94894289362,-60413.81483242689,-60455.21026315812
11,-59837.25158420225,-59831.909517277425,-59892.68391045141
12,-40678.67734178035,-40790.704284990345,-40379.722759690616
13,-6078.109869731649,-5965.613539888089,-5986.490069209346
14,-187500.02235174447,-187500.02235174447,-187500.02235174447
15,-187500.02235174447,-187500.02235174447,-187500.02235174447
16,-187500.02235174447,-187500.02235174447,-187500.02235174447
17,0.05,0.05,0.044
18,0.854,0.854,0.854
19,0.51,0.51,0.514
20,192.0,192.0,192.0
21,0.0,0.0,0.5
22,0.0,0.0,48.0
23,0.0,0.0,13.0
24,0.0,0.0,88.0
25,0.0,0.0,8.0
26,0.0,0.0,8.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1640508004.011228,1640508004.0182,1640508004.02629
31,0.0,0.0,0.0
